"Author","Date","Text","Class"
"Julius NM","2013-11-07T06:20:48","Huh, anyway check out this you[tube] channel: kobyoshi02","spam"
"adam riyati","2013-11-07T12:37:15","Hey guys check out my new channel and our first vid THIS IS US THE  MONKEYS!!! I'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!","spam"
"Evgeny Murashkin","2013-11-08T17:34:21","just for test I have to say murdev.com","spam"
"ElNino Melendez","2013-11-09T08:28:43","me shaking my sexy ass on my channel enjoy ^_^ ?","spam"
"GsMega","2013-11-10T16:05:38","watch?v=vtaRGgvGtWQ   Check this out .?","spam"
"Jason Haddad","2013-11-26T02:55:11","Hey, check out my new website!! This site is about kids stuff. kidsmediausa  . com","spam"
"ferleck ferles","2013-11-27T21:39:24","Subscribe to my channel ?","spam"
"Bob Kanowski","2013-11-28T12:33:27","i turned it on mute as soon is i came on i just wanted to check the  views...?","ham"
"Cony","2013-11-28T16:01:47","You should check my channel for Funny VIDEOS!!?","spam"
"BeBe Burkey","2013-11-28T16:30:13","and u should.d check my channel and tell me what I should do next!?","spam"
"Huckyduck","2013-11-28T17:06:17","Hey subscribe to me?","spam"
"Lone Twistt","2013-11-28T17:34:55"," Once you have started reading do not stop. If you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.?","spam"
"Archie Lewis","2013-11-28T17:54:39","https://twitter.com/GBphotographyGB?","spam"
"TheUploadaddict","2013-11-28T18:12:12","subscribe like comment?","spam"
"Francisco Nora","2013-11-28T19:52:35","please like :D https://premium.easypromosapp.com/voteme/19924/616375350?","spam"
"Gaming and Stuff PRO","2013-11-28T21:14:13","Hello! Do you like gaming, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? If you do please check out our  channel and subscribe to it, we've just started, but soon we hope we will  be able to cover all of our expectations... You can also check out what  we've got so far!?","spam"
"Zielimeek21","2013-11-28T21:49:00","I'm only checking the views?","ham"
"OutrightIgnite","2013-11-28T21:55:02","http://www.ebay.com/itm/171183229277?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ?","spam"
"Tony K Frazier","2013-11-28T23:57:13","http://ubuntuone.com/40beUutVu2ZKxK4uTgPZ8K?","spam"
"Jose Renteria","2013-11-29T00:22:01","We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparel?","spam"
"zhichao wang","2013-11-29T02:13:56","i think about 100 millions of the views come from people who only wanted to  check the views?","ham"
"Carlos Thegamer","2013-12-01T01:20:21","subscribe to my channel people :D?","spam"
"OutrightIgnite","2013-12-01T03:30:55","Show your AUBURN PRIDE HERE: http://www.teespring.com/tigermeathoodie?","spam"
"Owen Lai","2013-12-01T04:51:52","just checking the views?","ham"
"||GuitarZ||","2013-12-23T12:54:38","CHECK OUT MY CHANNEL","spam"
"Living4Techno","2013-12-25T19:46:26","marketglory . com/strategygame/andrijamatf earn real money from game","spam"
"8-BitMusic","2013-12-27T23:07:50","Hey guys! Im a 12 yr old music producer. I make chiptunes and 8bit music.  It would be wonderful if you checked out some of my 8bit remixes! I even  have a gangnamstyle 8bit remix if you would like to check that out ;)  Thanks!!","spam"
"Kyle Jaber","2014-01-19T00:21:29","Check me out! I'm kyle. I rap so yeah ?","spam"
"Brandon Pryor","2014-01-19T00:36:25","I dont even watch it anymore i just come here to check on 2 Billion or not?","ham"
"Fun&amp;Hacks","2014-01-19T00:42:35","Subscribe to me for free Android games, apps.. ?","spam"
"Young Hittaz","2014-01-19T04:21:11","everyone please come check our newest song in memories of Martin Luther  King Jr.?","spam"
"DropShotSk8r","2014-01-19T04:27:18","Came here to check the views, goodbye.?","ham"
"ElepticRage","2014-01-19T08:55:53","sub my channel for no reason -_-?","spam"
"Joengz","2014-01-19T10:31:10","Check out my dubstep song Fireball, made with Fruity Loops. I really took  time in it.  /watch?v=telOA6RIO8o?","spam"
"Tasha Lucius","2014-01-19T13:25:56","2 billion....Coming soon?","ham"
"Jason Provencal","2014-01-19T16:15:54","Why dafuq is a Korean song so big in the USA. Does that mean we support  Koreans? Last time I checked they wanted to bomb us. ?","ham"
"Kiddy Kidso","2014-01-19T16:49:52","Check my channel please! And listen to the best music ever :P?","spam"
"HamzaMurt | Advanced Warefare | Lets Play!","2014-01-19T17:20:58","SUB 4 SUB PLEASE LIKE THIS COMMENT I WANT A SUCCESFULL YOUTUBE SO PPLEASE LIKE THIS  COMMENT AND SUBSCRIBE IT ONLY TAKES 10 SECONDS PLEASE IF YOU SUBSCRIBE ILL  SUBSCRIBE BACK THANKS?","spam"
"ii Trollercopter","2014-01-19T17:25:23"," Hey everyone!! I have just started my first YT channel i would be grateful  if some of you peoples could check out my first clip in BF4! and give me  some advice on how my video was and how i could improve it. ALSO be sure to  go check out the about to see what Im all about. Thanks for your time :) .  and to haters... You Hate, I WIN?","spam"
"Eugene Kalinin","2014-01-19T19:21:04","The projects After Effects, Music, Foto, Web sites and another you can find  and buy here  http://audiojungle.net/user/EugeneKalinin/portfolio?ref=EugeneKalinin?","spam"
"Cody Tolleson","2014-01-20T02:50:44","YouTube/codytolleson for awesome videos I'll subscribe back ?","spam"
"cake cat","2014-01-20T04:45:34","if you like roblox minecraft world of warcraft gta5 mario suscribe to my  channel?","spam"
"World327RS","2014-01-20T06:16:28","SUBSCRIBE TO ME AND I'LL SUBSCRIBE TO YOU! (Must like - cZFcxsn0jnQ) ?","spam"
"Didier Drogba","2014-01-20T06:57:25","http://www.twitch.tv/jaroadc come follow and watch my stream!?","spam"
